0,2322名倒卖周杰伦演唱会门票黄牛在天津被抓,【#22名倒卖周杰伦演唱会门票黄牛在天津被抓#：打掉2个流窜扒窃、倒卖门票团伙】据@平安南开 通报：9月9日，公安机关在前期工作基础上，一举将22名扒窃、倒卖演唱会门票嫌疑人抓获。#周杰伦演唱会#,【#22名倒卖周杰伦演唱会门票黄牛在天津被抓#：打掉2个流窜扒窃、倒卖门票团伙】据@平安南开通报：9月9日，公安机关在前期工作基础上，一举将22名扒窃、倒卖演唱会门票嫌疑人抓获。#周杰伦演唱会#按照严厉打击涉票违法犯罪专项行动统一部署，9月8日晚，公安机关根据线索，在天津奥林匹克中心体育场架网布控，先后将扒窃群众演唱会门票的黄某某 （男，60岁）、朱某某 （男，49岁）等4名团伙成员抓获。经持续深挖、迅速出击，将收购扒窃演唱会门票进行倒卖的胡某某（男，29岁）、张某某 （男，42岁）等18名嫌疑人抓获。至此，公安机关成功打掉2个流窜至我市作案的扒窃、倒卖演唱会门票团伙。目前，案件正在侦办中。 ,头条新闻,2023-09-10 08:38:00
1,肖战演的手抖,#肖战演的手抖#肖战《玉骨遥》片场花絮视频，时影:“我死了你会难过吗”[泪]再次看到这一段还是好虐啊,#肖战演的手抖#肖战《玉骨遥》片场花絮视频，时影:“我死了你会难过吗”[泪]再次看到这一段还是好虐啊，真的是太好哭了，肖战演技好好，手抖这个小细节好到位！,王牌星探,2023-08-11 08:38:00
2,张艺兴演唱会BOOM舞台,#张艺兴演唱会BOOM舞台# 是谁跳拉丁舞都这么甜啊[哇]张艺兴演唱会《BOOM》舞台官摄,#张艺兴演唱会BOOM舞台# 是谁跳拉丁舞都这么甜啊[哇]张艺兴演唱会《BOOM》舞台官摄🈶每首歌都好好听，期待北京站一起大航海登船！,娱小猫,2023-08-11 08:38:00
3,乒乓球还可以这么打,#乒乓球还可以这么打#哇呜～现在的小朋友打乒乓球都这么厉害啦[鼓掌]！我那刚满六岁的姐和机器人版世界冠军battle，这仪态和风格颇有冠军的风范啊！,#乒乓球还可以这么打#哇呜～现在的小朋友打乒乓球都这么厉害啦[鼓掌]！我那刚满六岁的姐和机器人版世界冠军battle，这仪态和风格颇有冠军的风范啊！小孩姐觉得如果每天这样练习自己很可能成为世界冠军！加油啊小朋友，进国家队的目标任重道远，未来属于你们[打call]！,圈内顶流,2023-09-25 08:38:00
4,上半年A股股民人均盈利3.91万元,【#上半年A股股民人均盈利3.91万元# 】 #我国居民投资股市资金比例相对较低# 近日，在凤凰湾区财经论坛2023前夕，谈到今年上半年A股股民人均盈利3.91万元时，前海开源基金首席经济学家杨德龙在湾区风云录直播间表示，今年市场的盈利状况普遍较差，真正能赚钱的都是少数。,"【#上半年A股股民人均盈利3.91万元# 】 #我国居民投资股市资金比例相对较低# 近日，在凤凰湾区财经论坛2023前夕，谈到今年上半年A股股民人均盈利3.91万元时，前海开源基金首席经济学家杨德龙在湾区风云录直播间表示，今年市场的盈利状况普遍较差，真正能赚钱的都是少数。今年市场股价走势偏向于炒题材、炒概念，真正业绩好的公司反而是下跌的，这就造成很多基金、投资者亏钱。如果说今年上半年股民是赚钱的，这其实是被平均了。因为今年上半年涨的都是大盘股，没有多少投资者买了大盘股。
此外，他表示，我国居民投资于股市的资金比例相对较低。统计数据显示，我国居民在家庭资产配置中，房产占据了70%，而股票和基金仅占3%左右。居民储蓄大规模转移的方向将由过去的楼市逐步转向股市，这将为A股市场提供源源不断的资本支持，促使其不断壮大和繁荣。#寒武纪上半年股价最高涨幅近4倍# @凤凰网财经",凤凰网财经,2023-09-25 08:38:00
5,胡锡进谈医药反腐,【#胡锡进谈医药反腐# 】@胡锡进 ：第一，要全面确保医药反腐在法律框架内开展。这不是一场“群众运动”，而是要始终在各地各级党委的坚强领导下进行，依照法律规约平稳有序开展。,"【#胡锡进谈医药反腐# 】@胡锡进 ：第一，要全面确保医药反腐在法律框架内开展。这不是一场“群众运动”，而是要始终在各地各级党委的坚强领导下进行，依照法律规约平稳有序开展。

第二，打击医药腐败要把少数人的严重违法犯罪行为与一段时期内行业的不正之风区分开来，把严厉惩处和批评教育区分开来。要看到，绝大多数医务工作者是好的，尽职尽责的，很多医务工作者这些年处于超负荷工作状态，付出很多，他们对社会的贡献决不能被少数“医蠹”玷污了，反行业不正之风要与肯定、弘扬医务人员的长期奉献结合起来。

第三，近日一些针对医生的举报和传言频现网上，其中不乏整人害人的诬陷。老胡认为，反腐败要与反构陷同时进行，另外应当鼓励各种举报通过纪委给出的途径开展，使用互联网提出举报不应被随意使用。因为反医药腐败受到国家的支持，也契合当前大环境，应当不存在举报不畅的问题，并无通过互联网揭发实现举报突破的现实必要性，或者这种必要性决非普遍的。互联网举报虽然有利于营造反医药腐败的声势，但它呈现的信息未必真实准确，容易形成误导，进而可能伤害到医护人员的集体声誉，造成行业内积极性的挫伤，这种情况决非大多数人愿意看到的。

医药反腐败是中国反腐败向纵深的延续，它产生全面效果具有重大意义，让我们期待治病救人的初心在更健康的医德医风面貌中得到更突出的彰显，并期待医药反腐给整个中国社会建设树立一面旗帜，产生成功示范的作用。",观察者网,2023-08-11 08:38:00
6,调查显示医生月工资1600元起步,【#调查显示医生月工资1600元起步# 你觉得医生收入高吗？】#400多万中国医生的收入到底高不高# 8月，医疗反腐震动整个行业，医生收入问题成为社会瞩目的焦点。国家统计局数据显示，2022年末全国执业医师和执业助理医师为440万人。400多万中国医生的收入究竟高不高？医生的收入与奉献和付出是不是相符？,"【#调查显示医生月工资1600元起步# 你觉得医生收入高吗？】#400多万中国医生的收入到底高不高# 8月，医疗反腐震动整个行业，医生收入问题成为社会瞩目的焦点。国家统计局数据显示，2022年末全国执业医师和执业助理医师为440万人。400多万中国医生的收入究竟高不高？医生的收入与奉献和付出是不是相符？公众在这些问题上各执一词，不满、愤怒与压抑、委屈，各种情绪交织在一起，让人眼花缭乱，不知何去何从。

求医问药是人的基本需求，让医生获得一份体面的收入，可以光明正大获得与付出相匹配的薪酬，是实现高水平医疗服务可持续的关键。在中国要实现这个目标，应该怎么办，第一财经记者采访了大量一线从业者，其中有的在一线城市，有的在内地县城，既有三甲医院的大专家，也有刚走出医学院大门的规培医生，他们各抒己见，希望找到一个理想的答案。#医药反腐深入被查书记院长升至176位#",头条新闻,2023-08-12 08:38:00
7,江苏盐城龙卷风2死15伤,【#江苏盐城龙卷风2死15伤#】今天16时15分左右，受强对流天气影响，江苏省盐城市大丰区部分镇出现龙卷风自然灾害。经专家鉴定，该龙卷等级为EF2级（中等强度）。,【#江苏盐城龙卷风2死15伤#】今天16时15分左右，受强对流天气影响，江苏省盐城市大丰区部分镇出现龙卷风自然灾害。经专家鉴定，该龙卷等级为EF2级（中等强度）。记者从当地相关部门了解到，灾害造成2人死亡，15人受伤（均已送医救治，无生命危险）。据初步核查，有283户农房受损，32条蔬菜大棚受损，受灾情况正在进一步核查中。目前，受灾群众均已妥善转移安置，灾后恢复重建工作正在有序开展。,央视新闻,2023-08-13 08:38:00
8,茅台冰淇淋卖不动了,【#茅台冰淇淋卖不动了# 】#茅台冰激凌疯狂打折# 昨天，瑞幸和茅台推出的“酱香拿铁”正式开卖，引发轰动。曾经端着架子的白酒，如今用各种创意，希望能让年轻人的目光多停留一会儿。但这种尝试的有效性还需要时间来检验。,"【#茅台冰淇淋卖不动了# 】#茅台冰激凌疯狂打折# 昨天，瑞幸和茅台推出的“酱香拿铁”正式开卖，引发轰动。曾经端着架子的白酒，如今用各种创意，希望能让年轻人的目光多停留一会儿。但这种尝试的有效性还需要时间来检验。
去年，茅台与蒙牛联合开发茅台冰淇淋，希望吸引年轻人，但动辄40多块的茅台冰淇淋对年轻消费群体实在不友好。杭州一位茅台冰淇淋经货商表示，之前自己囤了一批货，但因为卖不动，今年亏了很多。在杭州开了50多家棒冰集合店的辛老板同样表示，去年茅台冰淇淋刚上市的时候火过一阵，“但今年销量一般，我也很少进货了。”
社交媒体上，一些城市的超市最近在以9.9元价格甩卖临期茅台冰淇淋。在北京朝阳大悦城的茅台冰淇淋线下旗舰店里，还有半月到期的冰淇淋，正在以“买一送一”活动售卖。而在茅台的大本营贵阳，前不久的七夕，茅台冰淇淋门店也罕见推出了买一送一的活动。via橙柿互动 O酱香拿铁很火，茅台冰淇淋却疯狂打折，酒企为了让年轻人喝白酒有多拼",都市快报,2023-08-12 08:38:00
9,婚礼前分手男方要求女方退还八宝粥,【#婚礼前分手男方要求女方退还八宝粥#：水果烟酒一并算钱】据上海青浦法院：小张与小陈在婚礼前夕因琐事分道扬镳，小张的母亲王女士将女方小陈诉至法院。王女士诉称，小陈应该把自己当初给的所有款物都归还。,"【#婚礼前分手男方要求女方退还八宝粥#：水果烟酒一并算钱】据上海青浦法院：小张与小陈在婚礼前夕因琐事分道扬镳，小张的母亲王女士将女方小陈诉至法院。

王女士诉称，小陈应该把自己当初给的所有款物都归还。小陈与小张谈婚论嫁期间，自己转与小陈用于拍摄婚纱照、购买“三金”和喜糖5万元；小陈生日时微信转与其520元；见小陈家长时，包红包6000元；小陈姐姐结婚时，转与小陈3000元红包。至于送给小陈的洗衣机、水果、烟酒、八宝粥等礼品，如果被消耗了，也应该把相应的钱款返还。上述所有物品、钱款合计9万多元，除去小陈已经归还了价值2.4万元的“三金”和2.9万元现金，小陈还应返还3万余元。

小陈辩称，男方给的钱款、物品大部分属于赠与。除了直接退给王女士的2.9万元外，小陈已经将2.4万元的“三金”和2万元现金还给了小张，自己并不需要再归还其余钱款。

本案的主要争议点在于哪些款项属于彩礼。具体而言，男方母亲给付女方的钱款、物品可大致分为四类：一是直接给女方个人的钱款，如小陈生日时，王女士发的520红包，属于赠与；二是给女方亲属的物品，表达了对女方亲属的友好，且金额不大，应视为日常人情往来，属于对女方亲属的赠与，小陈无需返还；三是为置办婚礼所花费的费用，如小陈因购买喜糖、拍婚纱照、订酒店等花费的钱款，为男女双方共同使用的部分，需根据实际使用及消耗情况，视情而定；四是给女方亲属的钱款，需要结合当地习俗判断，如“见面礼”等大额红包，与缔结婚姻直接相关，应当属于彩礼，但在小陈的姐姐结婚时送出的红包，与缔结婚姻并无关联，则属于赠与。经过法官释法明理，当事人自愿达成调解协议，小陈当庭返还王女士8000元。",头条新闻,2023-08-12 08:38:00
10,男子骑车被大坑绊倒隔天返回修补,【#男子骑车被大坑绊倒隔天返回修补#：不想让更多人摔倒】8月12日，河北邯郸。一男子骑车被大坑绊倒受伤，隔天主动修补路面。,【#男子骑车被大坑绊倒隔天返回修补#：不想让更多人摔倒】8月12日，河北邯郸。一男子骑车被大坑绊倒受伤，隔天主动修补路面。当事人王先生称，当时天黑了没路灯，自己骑车经过的时候也没注意，突然就被绊倒了，连人带车摔了出去，第二天又经过这里的时候，便用砖头和泥土简单填补了一下，不想让更多人再摔倒。,齐鲁晚报,2023-08-14 08:38:00